class_chara_id,class_chara_name,description,path,clan,clan_name,is_usable,skin_id,class_color,hide_class_name,battle_skin_reverse,position_x,position_y,scale,is_high_rank,is_3D,is_no_evolve_shift,is_opponent_reverse,evolution_delay_frame,is_evolve_skin
1103,CC_タツマキ,ワンパンマン,RoyallSaver,3,Common_0107,1,1103,0,0,0,0,0,1,0,0,0,0,0,0
1104,CC_サイタマ,ワンパンマン,RoyallSaver,4,Common_0108,1,1104,0,0,0,0,0,1,0,0,0,0,0,0
1108,CC_ジェノス,ワンパンマン,RoyallSaver,8,Common_0112,1,1108,0,0,0,0,0,1,0,0,0,0,0,0
1203,CC_アン,マナリアフレンズコラボ,RoyallSaver,3,Common_0107,1,1203,0,0,1,0,0,1,0,0,0,0,0,0
1301,CC_エミリア,リゼロ,RoyallSaver,1,Common_0105,1,1301,0,0,0,0,0,1,0,0,0,0,0,0
1302,CC_ラム,リゼロ,RoyallSaver,2,Common_0106,1,1302,0,0,0,0,0,1,0,0,0,0,0,0
1306,CC_レム,リゼロ,RoyallSaver,6,Common_0110,1,1306,0,0,0,0,0,1,0,0,0,0,0,0
1401,CC_松浦果南,ラブライブ!サンシャイン!!,RoyallSaver,1,Common_0105,1,1401,0,0,0,0,0,1,0,0,0,0,0,0
1402,CC_渡辺曜,ラブライブ!サンシャイン!!,RoyallSaver,2,Common_0106,1,1402,0,0,0,0,0,1,0,0,0,0,0,0
1403,CC_黒澤ダイヤ,ラブライブ!サンシャイン!!,RoyallSaver,3,Common_0107,1,1403,0,0,0,0,0,1,0,0,0,0,0,0
1413,CC_黒澤ルビィ,ラブライブ!サンシャイン!!,RoyallSaver,3,Common_0107,1,1413,0,0,0,0,0,1,0,0,0,0,0,0
1404,CC_高海千歌,ラブライブ!サンシャイン!!,RoyallSaver,4,Common_0108,1,1404,0,0,0,0,0,1,0,0,0,0,0,0
1405,CC_小原鞠莉,ラブライブ!サンシャイン!!,RoyallSaver,5,Common_0109,1,1405,0,0,0,0,0,1,0,0,0,0,0,0
1406,CC_津島善子,ラブライブ!サンシャイン!!,RoyallSaver,6,Common_0110,1,1406,0,0,0,0,0,1,0,0,0,0,0,0
1407,CC_国木田花丸,ラブライブ!サンシャイン!!,RoyallSaver,7,Common_0111,1,1407,0,0,0,0,0,1,0,0,0,0,0,0
1408,CC_桜内梨子,ラブライブ!サンシャイン!!,RoyallSaver,8,Common_0112,1,1408,0,0,0,0,0,1,0,0,0,0,0,0
1601,CC_リザ,リーダースキン付きカード,RoyallSaver,1,Common_0105,1,1601,0,0,1,0,0,1,0,0,0,0,0,0
1602,CC_ディオネ,リーダースキン付きカード,RoyallSaver,2,Common_0106,1,1602,0,0,1,0,0,1,0,0,0,0,0,0
1603,CC_ティオ,リーダースキン付きカード,RoyallSaver,3,Common_0107,1,1603,0,0,1,0,0,1,0,0,0,0,0,0
1604,CC_ガルミーユ,リーダースキン付きカード,RoyallSaver,4,Common_0108,1,1604,0,0,1,0,0,1,0,0,0,0,0,0
1605,CC_エンネア,リーダースキン付きカード,RoyallSaver,5,Common_0109,1,1605,0,0,1,0,0,1,0,0,0,0,0,0
1606,CC_モノ2,リーダースキン付きカード,RoyallSaver,6,Common_0110,1,1606,0,0,1,0,0,1,0,0,0,0,0,0
1607,CC_ラピス,リーダースキン付きカード,RoyallSaver,7,Common_0111,1,1607,0,0,1,0,0,1,0,0,0,0,0,0
1608,CC_リーシェナ,リーダースキン付きカード,RoyallSaver,8,Common_0112,1,1608,0,0,1,0,0,1,0,0,0,0,0,0
1702,CC_朝比奈みくる,涼宮ハルヒの憂鬱,RoyallSaver,2,Common_0106,1,1702,0,0,0,0,0,1,0,0,0,0,0,0
1703,CC_長門有希,涼宮ハルヒの憂鬱,RoyallSaver,3,Common_0107,1,1703,0,0,0,0,0,1,0,0,0,0,0,0
1708,CC_涼宮ハルヒ,涼宮ハルヒの憂鬱,RoyallSaver,8,Common_0112,1,1708,0,0,0,0,0,1,0,0,0,0,0,0
1803,CC_キョウカ,プリコネ,RoyallSaver,3,Common_0107,1,1803,0,0,0,0,0,1,0,0,0,0,0,0
1804,CC_カヤ,プリコネ,RoyallSaver,4,Common_0108,1,1804,0,0,0,0,0,1,0,0,0,0,0,0
1805,CC_ミヤコ,プリコネ,RoyallSaver,5,Common_0109,1,1805,0,0,0,0,0,1,0,0,0,0,0,0
1815,CC_シノブ,プリコネ,RoyallSaver,5,Common_0109,1,1815,0,0,0,0,0,1,0,0,0,0,0,0
1806,CC_イリヤ(プリコネ),プリコネ,RoyallSaver,6,Common_0110,1,1806,0,0,0,0,0,1,0,0,0,0,0,0
1807,CC_サレン,プリコネ,RoyallSaver,7,Common_0111,1,1807,0,0,0,0,0,1,0,0,0,0,0,0
1808,CC_カイザーインサイト,プリコネ,RoyallSaver,8,Common_0112,1,1808,0,0,0,0,0,1,0,0,0,0,0,0
1901,CC_アリサ2,リーダースキン付きカード,RoyallSaver,1,Common_0105,1,1901,0,0,1,0,0,1,0,0,0,0,0,0
1902,CC_エリカ2,リーダースキン付きカード,RoyallSaver,2,Common_0106,1,1902,0,0,1,0,0,1,0,0,0,0,0,0
1903,CC_イザベル2,リーダースキン付きカード,RoyallSaver,3,Common_0107,1,1903,0,0,1,0,0,1,0,0,0,0,0,0
1904,CC_ローウェン2,リーダースキン付きカード,RoyallSaver,4,Common_0108,1,1904,0,0,1,0,0,1,0,0,0,0,0,0
1905,CC_ルナ2,リーダースキン付きカード,RoyallSaver,5,Common_0109,1,1905,0,0,1,0,0,1,0,0,0,0,0,0
1906,CC_ユリアス2,リーダースキン付きカード,RoyallSaver,6,Common_0110,1,1906,0,0,1,0,0,1,0,0,0,0,0,0
1907,CC_イリス2,リーダースキン付きカード,RoyallSaver,7,Common_0111,1,1907,0,0,1,0,0,1,0,0,0,0,0,0
1908,CC_ユアン2,リーダースキン付きカード,RoyallSaver,8,Common_0112,1,1908,0,0,1,0,0,1,0,0,0,0,0,0
2001,CC_高森藍子,アイドルマスターシンデレラガールズ,RoyallSaver,1,Common_0105,1,2001,0,0,0,0,0,1,0,0,0,0,0,0
2002,CC_五十嵐響子,アイドルマスターシンデレラガールズ,RoyallSaver,2,Common_0106,1,2002,0,0,0,0,0,1,0,0,0,0,0,0
2003,CC_鷺沢文香,アイドルマスターシンデレラガールズ,RoyallSaver,3,Common_0107,1,2003,0,0,0,0,0,1,0,0,0,0,0,0
2004,CC_大槻唯,アイドルマスターシンデレラガールズ,RoyallSaver,4,Common_0108,1,2004,0,0,0,0,0,1,0,0,0,0,0,0
2005,CC_白坂小梅,アイドルマスターシンデレラガールズ,RoyallSaver,5,Common_0109,1,2005,0,0,0,0,0,1,0,0,0,0,0,0
2006,CC_佐久間まゆ,アイドルマスターシンデレラガールズ,RoyallSaver,6,Common_0110,1,2006,0,0,0,0,0,1,0,0,0,0,0,0
2007,CC_安部菜々,アイドルマスターシンデレラガールズ,RoyallSaver,7,Common_0111,1,2007,0,0,0,0,0,1,0,0,0,0,0,0
2008,CC_諸星きらり,アイドルマスターシンデレラガールズ,RoyallSaver,8,Common_0112,1,2008,0,0,0,0,0,1,0,0,0,0,0,0
2018,CC_北条加蓮,アイドルマスターシンデレラガールズ,RoyallSaver,8,Common_0112,1,2018,0,0,0,0,0,1,0,0,0,0,0,0
2103,CC_グレア,リーダースキン付きカード,RoyallSaver,3,Common_0107,1,2103,0,0,1,0,0,1,0,0,0,0,0,0
2202,CC_2B,ニーアオートマタ,RoyallSaver,2,Common_0106,1,2202,0,0,0,0,0,1,0,0,0,0,0,0
2208,CC_9S,ニーアオートマタ,RoyallSaver,8,Common_0112,1,2208,0,0,0,0,0,1,0,0,0,0,0,0
2303,CC_レイ,シャドウバース,RoyallSaver,3,Common_0107,1,2303,0,0,0,0,0,1,0,0,0,0,0,0
2307,CC_カグラ,シャドウバース,RoyallSaver,7,Common_0111,1,2307,0,0,0,0,0,1,0,0,0,0,0,0
2401,CC_C.C.,コードギアス,RoyallSaver,1,Common_0105,1,2401,0,0,0,0,0,1,0,0,0,0,0,0
2402,CC_スザク,コードギアス,RoyallSaver,2,Common_0106,1,2402,0,0,0,0,0,1,0,0,0,0,0,0
2403,CC_コーネリア,コードギアス,RoyallSaver,3,Common_0107,1,2403,0,0,0,0,0,1,0,0,0,0,0,0
2404,CC_星刻,コードギアス,RoyallSaver,4,Common_0108,1,2404,0,0,0,0,0,1,0,0,0,0,0,0
2405,CC_ルルーシュ,コードギアス,RoyallSaver,5,Common_0109,1,2405,0,0,0,0,0,1,0,0,0,0,0,0
2406,CC_カレン,コードギアス,RoyallSaver,6,Common_0110,1,2406,0,0,0,0,0,1,0,0,0,0,0,0
2407,CC_シャルル,コードギアス,RoyallSaver,7,Common_0111,1,2407,0,0,0,0,0,1,0,0,0,0,0,0
2408,CC_ジェレミア,コードギアス,RoyallSaver,8,Common_0112,1,2408,0,0,0,0,0,1,0,0,0,0,0,0
2501,CC_セタス(ストック),シャドウバース,RoyallSaver,1,Common_0105,1,2501,0,0,1,0,0,1,0,0,1,0,0,0
2505,CC_ツキカゲ2,バトルパス,RoyallSaver,5,Common_0109,1,2505,0,0,1,0,0,1,0,0,0,0,0,0
2515,CC_ニコラ,リーダースキン付きカード,RoyallSaver,5,Common_0109,1,2515,0,0,1,0,0,1,0,0,1,0,1,0
2507,CC_ムニャール2,バトルパス,RoyallSaver,7,Common_0111,1,2507,0,0,1,0,0,1,0,0,0,0,0,0
2508,CC_ゼシルウェンシー2,バトルパス,RoyallSaver,8,Common_0112,1,2508,0,0,1,0,0,1,0,0,0,0,0,0
2513,CC_ヴィンセント(ストック),シャドウバース,RoyallSaver,3,Common_0107,1,2513,0,0,1,0,0,1,0,0,0,0,0,0
2518,CC_フローゼス2,バトルパス,RoyallSaver,8,Common_0112,1,2518,0,0,1,0,0,1,0,0,0,0,0,0
2523,CC_テトラ(ストック),シャドウバース,RoyallSaver,3,Common_0107,1,2523,0,0,1,0,0,1,0,0,1,0,0,0
2601,CC_セッカ,リーダースキン付きカード,RoyallSaver,1,Common_0105,1,2601,0,0,1,0,0,1,0,0,0,0,0,0
2602,CC_バニー,リーダースキン付きカード,RoyallSaver,2,Common_0106,1,2602,0,0,1,0,0,1,0,0,0,0,0,0
2612,CC_バロン,リーダースキン付きカード,RoyallSaver,2,Common_0106,1,2612,0,0,1,0,0,1,0,0,0,0,0,0
2603,CC_マイザー,リーダースキン付きカード,RoyallSaver,3,Common_0107,1,2603,0,0,1,0,0,1,0,0,0,0,0,0
2604,CC_ドラーク,リーダースキン付きカード,RoyallSaver,4,Common_0108,1,2604,0,0,1,0,0,1,0,0,0,0,0,0
2605,CC_カゲロウ,リーダースキン付きカード,RoyallSaver,5,Common_0109,1,2605,0,0,1,0,0,1,0,0,0,0,0,0
2606,CC_アルザード,リーダースキン付きカード,RoyallSaver,6,Common_0110,1,2606,0,0,1,0,0,1,0,0,0,0,0,0
2607,CC_セリーナ,リーダースキン付きカード,RoyallSaver,7,Common_0111,1,2607,0,0,1,0,0,1,0,0,0,0,0,0
2608,CC_イルガンノ,リーダースキン付きカード,RoyallSaver,8,Common_0112,1,2608,0,0,1,0,0,1,0,0,0,0,0,0
2701,CC_ミモリ,シャドウバース,RoyallSaver,1,Common_0105,1,2701,0,0,0,0,0,1,0,0,0,0,0,0
2702,CC_カズキ,シャドウバース,RoyallSaver,2,Common_0106,1,2702,0,0,0,0,0,1,0,0,0,0,0,0
2703,CC_カイ,シャドウバース,RoyallSaver,3,Common_0107,1,2703,0,0,0,0,0,1,0,0,0,0,0,0
2704,CC_ヒイロ,シャドウバース,RoyallSaver,4,Common_0108,1,2704,0,0,0,0,0,1,0,0,0,0,0,0
2705,CC_アリス,シャドウバース,RoyallSaver,5,Common_0109,1,2705,0,0,0,0,0,1,0,0,0,0,0,0
2706,CC_ルシア,シャドウバース,RoyallSaver,6,Common_0110,1,2706,0,0,0,0,0,1,0,0,0,0,0,0
2707,CC_マウラ,シャドウバース,RoyallSaver,7,Common_0111,1,2707,0,0,0,0,0,1,0,0,0,0,0,0
2801,CC_ラティカ2,リーダースキン付きカード,RoyallSaver,1,Common_0105,1,2801,0,0,1,0,0,1,0,0,0,0,0,0
2811,CC_オムニス,リーダースキン付きカード,RoyallSaver,1,Common_0105,1,2811,0,0,1,0,0,1,0,0,0,0,0,0
2802,CC_ツバキ,リーダースキン付きカード,RoyallSaver,2,Common_0106,1,2802,0,0,1,0,0,1,0,0,0,0,0,0
2803,CC_クオン,リーダースキン付きカード,RoyallSaver,3,Common_0107,1,2803,0,0,1,0,0,1,0,0,0,0,0,0
2804,CC_ヴァイディ2,リーダースキン付きカード,RoyallSaver,4,Common_0108,1,2804,0,0,1,0,0,1,0,0,0,0,0,0
2814,CC_ローラ,リーダースキン付きカード,RoyallSaver,4,Common_0108,1,2814,0,0,1,0,0,1,0,0,0,0,0,0
2824,CC_アイラ,リーダースキン付きカード,RoyallSaver,4,Common_0108,1,2824,0,0,1,0,0,1,0,0,0,0,0,0
2805,CC_ギンセツ,リーダースキン付きカード,RoyallSaver,5,Common_0109,1,2805,0,0,1,0,0,1,0,0,0,0,0,0
2806,CC_ユヅキ,リーダースキン付きカード,RoyallSaver,6,Common_0110,1,2806,0,0,1,0,0,1,0,0,0,0,0,0
2807,CC_エイラ,リーダースキン付きカード,RoyallSaver,7,Common_0111,1,2807,0,0,1,0,0,1,0,0,0,0,0,0
2808,CC_ララミア,リーダースキン付きカード,RoyallSaver,8,Common_0112,1,2808,0,0,1,0,0,1,0,0,0,0,0,0
2818,CC_ベルフォメット2,リーダースキン付きカード,RoyallSaver,8,Common_0112,1,2818,0,0,1,0,0,1,0,0,0,0,0,0
2901,CC_ソーン,グランブルーファンタジー,RoyallSaver,1,Common_0105,1,2901,0,0,0,0,0,1,0,0,0,0,0,0
2902,CC_オクトー,グランブルーファンタジー,RoyallSaver,2,Common_0106,1,2902,0,0,0,0,0,1,0,0,0,0,0,0
2912,CC_シエテ,グランブルーファンタジー,RoyallSaver,2,Common_0106,1,2912,0,0,0,0,0,1,0,0,0,0,0,0
2903,CC_フュンフ,グランブルーファンタジー,RoyallSaver,3,Common_0107,1,2903,0,0,0,0,0,1,0,0,0,0,0,0
2904,CC_サラーサ,グランブルーファンタジー,RoyallSaver,4,Common_0108,1,2904,0,0,0,0,0,1,0,0,0,0,0,0
2905,CC_ニオ,グランブルーファンタジー,RoyallSaver,5,Common_0109,1,2905,0,0,0,0,0,1,0,0,0,0,0,0
2906,CC_シス,グランブルーファンタジー,RoyallSaver,6,Common_0110,1,2906,0,0,0,0,0,1,0,0,0,0,0,0
2907,CC_ウーノ,グランブルーファンタジー,RoyallSaver,7,Common_0111,1,2907,0,0,0,0,0,1,0,0,0,0,0,0
2908,CC_エッセル,グランブルーファンタジー,RoyallSaver,8,Common_0112,1,2908,0,0,0,0,0,1,0,0,0,0,0,0
2918,CC_カトル,グランブルーファンタジー,RoyallSaver,8,Common_0112,1,2918,0,0,0,0,0,1,0,0,0,0,0,0
3001,CC_藤原千花,かぐや様は告らせたい,RoyallSaver,1,Common_0105,1,3001,0,0,0,0,0,1,0,0,0,0,0,0
3002,CC_四宮かぐや,かぐや様は告らせたい,RoyallSaver,2,Common_0106,1,3002,0,0,0,0,0,1,0,0,0,0,0,0
3003,CC_白銀御行,かぐや様は告らせたい,RoyallSaver,3,Common_0107,1,3003,0,0,0,0,0,1,0,0,0,0,0,0
3101,CC_森久保乃々,アイドルマスターシンデレラガールズ,RoyallSaver,1,Common_0105,1,3101,0,0,0,0,0,1,0,0,0,0,0,0
3111,CC_渋谷凛,アイドルマスターシンデレラガールズ,RoyallSaver,1,Common_0105,1,3111,0,0,0,0,0,1,0,0,0,0,0,0
3102,CC_島村卯月,アイドルマスターシンデレラガールズ,RoyallSaver,2,Common_0106,1,3102,0,0,0,0,0,1,0,0,0,0,0,0
3103,CC_辻野あかり,アイドルマスターシンデレラガールズ,RoyallSaver,3,Common_0107,1,3103,0,0,0,0,0,1,0,0,0,0,0,0
3104,CC_本田未央,アイドルマスターシンデレラガールズ,RoyallSaver,4,Common_0108,1,3104,0,0,0,0,0,1,0,0,0,0,0,0
3105,CC_早坂美玲,アイドルマスターシンデレラガールズ,RoyallSaver,5,Common_0109,1,3105,0,0,0,0,0,1,0,0,0,0,0,0
3106,CC_星輝子,アイドルマスターシンデレラガールズ,RoyallSaver,6,Common_0110,1,3106,0,0,0,0,0,1,0,0,0,0,0,0
3107,CC_夢見りあむ,アイドルマスターシンデレラガールズ,RoyallSaver,7,Common_0111,1,3107,0,0,0,0,0,1,0,0,0,0,0,0
3108,CC_砂塚あきら,アイドルマスターシンデレラガールズ,RoyallSaver,8,Common_0112,1,3108,0,0,0,0,0,1,0,0,0,0,0,0
3201,CC_ブリリアントフェアリー,シャドウバース,RoyallSaver,1,Common_0105,1,3201,0,0,0,0,0,1,0,0,0,0,0,0
3204,CC_イグニスドラゴン,シャドウバース,RoyallSaver,4,Common_0108,1,3204,0,0,0,0,0,1,0,0,0,0,0,0
3206,CC_ダークエンペラー,シャドウバース,RoyallSaver,6,Common_0110,1,3206,0,0,0,0,0,1,0,0,0,0,0,0
3208,CC_レオン,シャドウバース,RoyallSaver,8,Common_0112,1,3208,0,0,0,0,0,1,0,0,0,0,0,0
3301,CC_セッカ上位,上位リーダースキン付きカード,RoyallSaver,1,Common_0105,1,3301,0,0,1,0,0,1,1,0,0,0,0,0
3311,CC_ローフラッド,リーダースキン付きカード,RoyallSaver,1,Common_0105,1,3311,0,0,1,0,0,1,0,0,1,1,2,0
3302,CC_ナハト・ナハト上位,上位リーダースキン付きカード,RoyallSaver,2,Common_0106,1,3302,0,0,1,0,0,1,1,0,0,0,0,0
3303,CC_ルーニィ上位,上位リーダースキン付きカード,RoyallSaver,3,Common_0107,1,3303,0,0,1,0,0,1,1,0,0,0,0,0
3304,CC_万華の鳳凰上位,上位リーダースキン付きカード,RoyallSaver,4,Common_0108,1,3304,0,0,1,0,0,1,1,0,0,0,0,0
3305,CC_エイミー,リーダースキン付きカード,RoyallSaver,5,Common_0109,1,3305,0,0,1,0,0,1,0,0,0,0,0,0
3315,CC_ミルティオ上位,上位リーダースキン付きカード,RoyallSaver,5,Common_0109,1,3315,0,0,1,0,0,1,1,0,0,0,0,0
3306,CC_ラウラ上位,上位リーダースキン付きカード,RoyallSaver,6,Common_0110,1,3306,0,0,1,0,0,1,1,0,0,0,0,0
3307,CC_ジャンヌ上位,上位リーダースキン付きカード,RoyallSaver,7,Common_0111,1,3307,0,0,1,0,0,1,1,0,0,0,0,0
3308,CC_アイシィレンドリング2,リーダースキン付きカード,RoyallSaver,8,Common_0112,1,3308,0,0,1,0,0,1,0,0,0,0,0,0
